baths,beds,addressZipcode,addressCity,detailUrl,area,price,property_age
2.25,4.0,98074,Sammamish,https://www.zillow.com/homedetails/20559-NE-31st-St-Sammamish-WA-98074/49094675_zpid/,2965.0,1772500.0,45
3.0,3.0,98074,Sammamish,https://www.zillow.com/homedetails/23006-NE-21st-St-Sammamish-WA-98074/48997490_zpid/,1880.0,1299600.0,41
3.0,4.0,98074,Sammamish,https://www.zillow.com/homedetails/1914-232nd-Pl-NE-Sammamish-WA-98074/48769636_zpid/,2250.0,1499200.0,35
3.0,5.0,98074,Sammamish,https://www.zillow.com/homedetails/21001-NE-15th-St-Sammamish-WA-98074/48881480_zpid/,2400.0,1153100.0,33
3.0,4.0,98074,Sammamish,https://www.zillow.com/homedetails/2714-Sahalee-Dr-E-Sammamish-WA-98074/49039685_zpid/,2510.0,1399300.0,30
2.0,5.0,98074,Sammamish,https://www.zillow.com/homedetails/2210-229th-Ave-NE-Sammamish-WA-98074/48997483_zpid/,3210.0,1405800.0,30
6.0,5.0,98074,Sammamish,https://www.zillow.com/homedetails/1593-213th-Ct-NE-Sammamish-WA-98074/450888552_zpid/,4216.0,2844700.0,34
3.0,4.0,98074,Sammamish,https://www.zillow.com/homedetails/235-249th-Pl-NE-Sammamish-WA-98074/48681937_zpid/,2855.0,1669800.0,41
3.0,3.0,98074,Sammamish,https://www.zillow.com/homedetails/22313-NE-31st-St-Sammamish-WA-98074/48762705_zpid/,2380.0,1524400.0,42
3.0,3.0,98074,Sammamish,https://www.zillow.com/homedetails/25819-NE-9th-St-Sammamish-WA-98074/48763633_zpid/,2930.0,1843200.0,38
3.0,4.0,98074,Sammamish,https://www.zillow.com/homedetails/22314-NE-11th-Pl-Sammamish-WA-98074/48770794_zpid/,2050.0,1424800.0,37
2.0,3.0,98074,Sammamish,https://www.zillow.com/homedetails/819-211th-Pl-NE-Sammamish-WA-98074/48881506_zpid/,1818.0,1046000.0,34
3.0,3.0,98074,Sammamish,https://www.zillow.com/homedetails/22417-NE-13th-Ct-Sammamish-WA-98074/48881921_zpid/,1470.0,946500.0,36
3.0,4.0,98074,Sammamish,https://www.zillow.com/homedetails/531-237th-Ave-SE-Sammamish-WA-98074/49091193_zpid/,2810.0,1778300.0,45
3.0,4.0,98074,Sammamish,https://www.zillow.com/homedetails/2516-248th-Pl-NE-Sammamish-WA-98074/58387045_zpid/,2550.0,1355000.0,31
4.0,5.0,98074,Sammamish,https://www.zillow.com/homedetails/451-245th-Ave-SE-Sammamish-WA-98074/48681839_zpid/,4170.0,2489700.0,43
3.0,3.0,98074,Sammamish,https://www.zillow.com/homedetails/1520-210th-Ave-NE-Sammamish-WA-98074/48881478_zpid/,2390.0,1300300.0,44
3.0,4.0,98074,Sammamish,https://www.zillow.com/homedetails/316-246th-Way-SE-Sammamish-WA-98074/48681826_zpid/,3830.0,2390300.0,37
3.0,4.0,98074,Sammamish,https://www.zillow.com/homedetails/1437-240th-Ave-NE-Sammamish-WA-98074/305102174_zpid/,2960.0,1898500.0,43
6.0,5.0,98074,Sammamish,https://www.zillow.com/homedetails/1556-213th-Ct-NE-Sammamish-WA-98074/450649965_zpid/,4356.0,3158700.0,34
3.0,4.0,98074,Sammamish,https://www.zillow.com/homedetails/23715-SE-5th-Pl-Sammamish-WA-98074/49091173_zpid/,2710.0,1629000.0,35
3.0,5.0,98074,Sammamish,https://www.zillow.com/homedetails/1407-231st-Ave-SE-Sammamish-WA-98074/353213795_zpid/,3192.0,1638500.0,38
